"ref_date","united states, adp employment change","united states, business confidence","united states, chicago fed national activity index","united states, chicago pmi","united states, consumer confidence","united states, continuing jobless claims","united states, corporate 10y t bill spread","united states, gdp growth rate","united states, industrial production mom","united states, initial jobless claims","united states, interbank rate","united states, manufacturing payrolls","united states, manufacturing pmi","united states, mortgage applications","united states, nfib business optimism index","united states, non farm payrolls","united states, non manufacturing pmi","united states, ny empire state manufacturing index","united states, philadelphia fed manufacturing index","united states, redbook index sa","united states, richmond fed manufacturing index","united states, services pmi","united states, t bill spread 10y 3m"
2004-05-31,93.7160402084022,9.62977586142918,1.15925202522471,11.6937392179281,0.916721134724071,-0.0129429367224799,-0.438029301089729,NA,0.695888471230784,-0.0338439414971907,0.0754445359993869,68.375265681438,NA,NA,4.29973317503099,248.183677901401,2.39485683859036,20.0005093884152,23.9224276419952,NA,17.6408654135872,NA,2.06092374489235
2004-06-30,124.813463125843,8.72859685445534,-0.115799481730857,6.29570937727205,6.68706762556796,-0.0129133949035714,-0.422320629617386,0.577180186386405,-0.902548594940264,0.0386466237204328,0.171250854901293,31.4799901890399,NA,NA,3.81991075051313,65.5068955316841,2.46360472682954,9.90709712975731,25.4812957667843,NA,11.7526163458109,NA,1.81801976586412
2004-07-31,66.1154872473145,8.12605635711348,0.948471887905166,9.29572641415927,8.16605231140123,-0.0160203987636728,-0.350905139467576,NA,0.698862700970521,-0.0161793785278121,0.0725270122330382,39.5478386431637,NA,NA,6.64383132050978,22.60072377704,2.35006133700168,17.6332058763147,29.6304135506944,NA,2.86488911684945,NA,1.49986670149228
2004-08-31,-47.4156004075985,6.72207565925508,0.652026612816661,5.6936836780788,7.75191344843694,-0.0132768001662138,-0.296354513887992,NA,0.000229225879388353,-0.00556342655103778,0.0531701990482504,56.5768830351336,NA,NA,3.27084622076244,57.4521638975802,1.15682355412659,-2.32377613338176,20.069204700895,NA,9.97654826246966,NA,1.1244227477002
2004-09-30,6.1824871806886,5.61712254921881,0.455195797321984,9.08952451190465,6.44288929288803,-0.014460998902872,-0.33844173482762,1.29556345773349,0.00155246789363297,-0.00947211460591618,0.0863272528010982,27.5727767539371,NA,NA,5.10030678701271,125.154722357663,1.77808713007723,10.7335393391986,14.7034904114677,NA,5.08645831843813,NA,0.777204541969702
2004-10-31,76.8720370317605,4.51172852644276,1.11833560270331,13.0833346778612,4.33721810096749,-0.0344839620849859,-0.376602121897786,NA,0.902833915120547,-0.00901389526709589,0.0817451120753256,42.5432441935006,NA,NA,4.73156435500211,323.81142675947,2.70590781093247,6.70254053258642,21.8393722655776,NA,4.19348382052149,NA,0.621986297540183
2004-11-30,53.003466659872,4.40591044742747,0.251444093090257,9.77522115446295,5.83313812888832,-0.0201721686273247,-0.479115150553975,NA,0.104075055667425,-0.0153700437612579,0.0945185501992779,16.4894638525566,NA,NA,8.36397026047217,26.4235600698496,2.33967247302093,-2.61938431468748,14.2766945540191,NA,2.2964893044864,NA,0.392505431114238
2004-12-31,32.898792475946,5.39968516867346,1.31451933261243,7.56529092022444,10.5288876328635,-0.010024218414277,-0.569143413134783,1.613923131303,0.605277377641558,-0.0104357507767096,0.0751611257504748,21.4126142298375,NA,NA,7.19687583916445,91.9924052556482,3.57876799267124,3.56515303590762,20.6153015675867,NA,5.39433930609949,NA,0.300720138615246
2005-01-31,12.4776998445696,4.99306954668128,0.687559385399453,9.1536509536602,9.32270486910612,-0.00251987276337452,-0.699901450030758,NA,0.406442369150241,0.0543584645139605,0.0548436802185453,11.3138738240757,NA,NA,4.72963242682053,121.519245283714,2.02258124621203,-2.54645917709757,8.45503759707485,NA,6.48589836112739,NA,0.129647057525025
2005-02-28,31.6598741303299,3.68608043795147,0.910562315580928,11.6404082332847,8.31282809382903,-0.0180103437631287,-0.849713849479337,NA,0.607571518300765,-0.0968502660165226,0.0515844199664997,57.1944211340039,NA,NA,5.16159135918191,230.005363120893,3.47049910997192,-1.12692836993508,16.4957469332781,-2.39551129784319,12.5700310053367,NA,-0.148316791899486
